business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
lHYiCS-y8AFjUitv6MGpxg,"""Starbucks""",Liberty Village,"""85 Hanna Avenue""",Toronto,ON,M6K 3S3,43.63986331,-79.41953319,4,21,1,Food;Coffee & Tea
VSGcuYDV3q-AAZ9ZPq4fBQ,"""Sportster's""",The Danforth,"""1430 Danforth Avenue""",Toronto,ON,M4J 1N4,43.6828673,-79.3269639,2.5,7,1,Bars;Sports Bars;Nightlife
1K4qrnfyzKzGgJPBEcJaNQ,"""Chula Taberna Mexicana""",Leslieville,"""1058 Gerrard Street E""",Toronto,ON,M4M 3A6,43.6692562,-79.3359022,3.5,39,1,Tiki Bars;Nightlife;Mexican;Restaurants;Bars
AtdXq_gu9NTE5rx4ct_dGg,"""DAVIDsTEA""",Ryerson,"""10 Dundas Street E""",Toronto,ON,M5B 2G9,43.6567287,-79.3807182,4,6,1,Coffee & Tea;Food;Tea Rooms
nbhBRhZtdaZmMMeb2i02pg,"""Sunnyside Grill""",,"""2777 Steeles Avenue W""",Toronto,ON,M3J 3K5,43.7818155,-79.4904331,5,3,1,Restaurants;Breakfast & Brunch
FXHfcFVEfI1vVngW2gVOpw,"""Bampot House of Tea & Board Games""",,"""201 Harbord Street""",Toronto,ON,M5S 1H6,43.66158168,-79.40887846,4,55,1,Coffee & Tea;Restaurants;Food;Mediterranean;Tea Rooms
PEKloTo1IkW_gyxp15e8Dg,"""Amy's Lash & Beauty Spa""",Summer Hill,"""1219 Yonge Street""",Toronto,ON,M4T 1W4,43.68321299,-79.3919423,3.5,7,1,Eyelash Service;Beauty & Spas
LL01hTt_eVdp-ws4zMDsrw,"""Pil Son""",Financial District,"""Toronto-Dominion Centre Bank Tower, 66 Wellington St W, Ste 2709""",Toronto,ON,M5K 1H1,43.646954,-79.382159,5,3,1,Health & Medical;General Dentistry;Dentists
VXH7zXcZzXlmAVN8GSjGRQ,"""Thai Express""",,"""4700 Keele Street""",Toronto,ON,M3J 1P3,43.77487768,-79.49461873,3,5,1,Imported Food;Specialty Food;Thai;Ethnic Food;Food;Restaurants
dTWfATVrBfKj7Vdn0qWVWg,"""Flavor Cuisine""",Scarborough,"""8 Glen Watford Drive""",Toronto,ON,M1S 2C1,43.7870613,-79.2761657,3,6,1,Restaurants;Chinese;Food Court
sJ0MYSAIVK28cMzh-s-NPA,"""Amaya Express""",Downtown Core,"""Eaton Centre, 220 Yonge St""",Toronto,ON,M5B 2L7,43.6540667,-79.3800815,2.5,34,1,Indian;Restaurants;Fast Food
WSZL9uQ9JMOrrulMKEl7Tw,"""Mayze""",Scarborough,"""2210 Markham Road, Unit 3""",Toronto,ON,M1B 5V6,43.80928194,-79.24453936,4.5,32,1,Arcades;Arts & Entertainment;Party & Event Planning;Escape Games;Event Planning & Services;Active Life
JmKgz6n7zn24F-WkgT-kiA,"""Maki My Way""",St. Lawrence,"""7 King Street E""",Toronto,ON,M5C 3C5,43.6491517,-79.37749475,4.5,7,1,Restaurants;Sushi Bars;Japanese;Asian Fusion
lZ18HyZhfrrN_VAJIpyhxQ,"""X-Nail & Spa""",Liberty Village,"""111 Jefferson Avenue""",Toronto,ON,M6K 3E4,43.6383877,-79.4216517,3,25,1,Hair Salons;Beauty & Spas;Nail Salons
UlI0TksGFiIXtcbtg2KalQ,"""Mi Pho Song Vu""",Downsview,"""2109 Jane Street""",North York,ON,M3M 1A2,43.7184236,-79.5079286,2.5,38,1,Restaurants;Thai;Vietnamese;Chinese
98YzjvO45DRRvqrNv0hhAA,"""TTC - Toronto Transit Commision""",Mount Pleasant and Davisville,"""1900 Yonge St""",Toronto,ON,M4S 1Z1,43.6977811,-79.3967577,2.5,131,1,Hotels & Travel;Transportation;Public Transportation
t8yi2l7pZF43Rlf9_lHdDA,"""Hero Certified Burgers - King & Yonge""",Downtown Core,"""79A Yonge Street""",Toronto,ON,M5C 1S8,43.6495217,-79.3779103,2.5,29,1,Burgers;Restaurants
XSrN9gtLHC8MtUnSobZfDQ,"""Condom Shack""",Queen Street West,"""231 Queen Street W""",Toronto,ON,M5V 1Z4,43.6503839,-79.3882478,4,18,1,Shopping;Adult
